title,desc,location,date,imageurl,cluster,tags,rate
Life Long Work,,Kolkata,,images/photographs/single/cobbler-kolkata.jpg,singles,bw,recent
Christmas Candles,,Kolkata,,images/photographs/stories/christmaspast/christmas-candles.jpg,christmaspast,color,
Christ,,Kolkata,,images/photographs/stories/christmaspast/jesus-christ.jpg,christmaspast,bw,
Midnight Mass,,Kolkata,,images/photographs/stories/christmaspast/midnight-mass.jpg,christmaspast,color,
St. Johns,,Kolkata,,images/photographs/stories/christmaspast/st-johns.jpg,christmaspast,bw,
St. Johns,,Kolkata,,images/photographs/stories/christmaspast/stjohns-angel.jpg,christmaspast,bw,
St. Johns,,Kolkata,,images/photographs/stories/christmaspast/stjohns-church.jpg,christmaspast,bw,
St. Johns,,Kolkata,,images/photographs/stories/christmaspast/stjohns-statue.jpg,christmaspast,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_1.jpg,dhunuchi,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_2.jpg,dhunuchi,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_4.jpg,dhunuchi,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_7.jpg,dhunuchi,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_8.jpg,dhunuchi,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_10.jpg,dhunuchi,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_11.jpg,dhunuchi,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_12.jpg,dhunuchi,bw,star
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_13.jpg,dhunuchi,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_14.jpg,dhunuchi,bw,
Coffee House,,Kolkata,,images/photographs/stories/food/coffee-house.jpg,foodandtravel,bw,
Breakfast@Flurys,,Kolkata,,images/photographs/stories/food/flurys-breakfast.jpg,foodandtravel,color,
Mocktail,,Kolkata,,images/photographs/stories/food/mocktail.jpg,foodandtravel,color,
Oriental Salad,,Kolkata,,images/photographs/stories/food/oriental-salads.jpg,foodandtravel,color,
Prawn Martini,,Kolkata,,images/photographs/stories/food/prawn-martini.jpg,foodandtravel,color,
Limca Studio,,Kolkata,,images/photographs/stories/limcastudio/studio_1.jpg,limcastudio,color,
Limca Studio,,Kolkata,,images/photographs/stories/limcastudio/studio_3.jpg,limcastudio,color,
Limca Studio,,Kolkata,,images/photographs/stories/limcastudio/studio_4.jpg,limcastudio,color,
Limca Studio,,Kolkata,,images/photographs/stories/limcastudio/studio_5.jpg,limcastudio,bw,
Limca Studio,,Kolkata,,images/photographs/stories/limcastudio/studio_6.jpg,limcastudio,bw,star
VAT,,Kolkata,,images/photographs/stories/nesha/arijit-party.jpg,nesha,color,
Tasher Desh,,Kolkata,,images/photographs/stories/nesha/ayash-cards.jpg,nesha,bw,
Injurious,,Kolkata,,images/photographs/stories/nesha/ayash-smoke.jpg,nesha,bw,star
Orkos,,Kolkata,,images/photographs/stories/nesha/beer-orkos.jpg,nesha,bw,
Injurious,,Kolkata,,images/photographs/stories/nesha/priyanshu-smoke.jpg,nesha,bw,
Injurious,,Kolkata,,images/photographs/stories/nesha/shaun-morning.jpg,nesha,bw,
Morning,,Kolkata,,images/photographs/stories/nesha/ujani-sleep.jpg,nesha,bw,star
Tasher Desh,,Kolkata,,images/photographs/stories/nesha/cards.jpg,nesha,bw,
Peekaboo,,Chuikhim,,images/photographs/stories/outreach/chuikhim-bikas.jpg,outreach,bw,
Bindya,,Chuikhim,,images/photographs/stories/outreach/chuikhim-bindya.jpg,outreach,color,
Chuikhim,,Chuikhim,,images/photographs/stories/outreach/chuikhim-kids.jpg,outreach,color,
Parade,,Chuikhim,,images/photographs/stories/outreach/chuikhim-parade.jpg,outreach,color,
Playtime,,Gorchumuk,,images/photographs/stories/outreach/gorchumuk-kids.jpg,outreach,bw,
Chuti,,Maryada,,images/photographs/stories/outreach/chuti.jpg,outreach,bw,
Eyes,,Maryada,,images/photographs/stories/outreach/hotor-family.jpg,outreach,bw,star
Hotor Girl,,Maryada,,images/photographs/stories/outreach/hotor-girl.jpg,outreach,bw,
Thakuma,,Maryada,,images/photographs/stories/outreach/hotor-thakuma.jpg,outreach,bw,
Ellow,,Kolkata,,images/photographs/stories/outreach/jspk-shoes.jpg,outreach,color,
Now you see me,,Kolkata,,images/photographs/stories/outreach/rainbow-girls.jpg,outreach,bw,star
Dreams,,Kolkata,,images/photographs/stories/outreach/shishumon-boy.jpg,outreach,color,
Kid,,Kolkata,,images/photographs/stories/outreach/shishumon-kid.jpg,outreach,color,
Kid,,Kolkata,,images/photographs/stories/outreach/shisumon-girl.jpg,outreach,bw,
Drives,,Kolkata,,images/photographs/stories/rides/car-bud.jpg,foodandtravel,bw,
Drives,,Kolkata,,images/photographs/stories/rides/cars-music.jpg,foodandtravel,bw,
Drives,,Kolkata,,images/photographs/stories/rides/heineken-car.jpg,foodandtravel,bw,
Drives,,Kolkata,,images/photographs/stories/rides/heineken-pizza.jpg,foodandtravel,bw,
Durga Pujo,,Kolkata,,images/photographs/stories/durgapujo/pujo_1.jpg,durgapujo,bw,star
Durga Pujo,,Kolkata,,images/photographs/stories/durgapujo/pujo_2.jpg,durgapujo,bw,
Durga Pujo,,Kolkata,,images/photographs/stories/durgapujo/pujo_4.jpg,durgapujo,color,
Durga Pujo,,Kolkata,,images/photographs/stories/durgapujo/pujo_5.jpg,durgapujo,bw,
Durga Pujo,,Kolkata,,images/photographs/stories/durgapujo/pujo_6.jpg,durgapujo,bw,
Durga Pujo,,Kolkata,,images/photographs/stories/durgapujo/pujo_7.jpg,durgapujo,bw,
Durga Pujo,,Kolkata,,images/photographs/stories/durgapujo/pujo_8.jpg,durgapujo,bw,
A Peg of Memories,,Kolkata,recent,images/photographs/stories/nesha/bbs-wine.jpg,nesha,bw,recent
Inside,,Kolkata,recent,images/photographs/stories/nesha/sandy_bhasan.jpg,nesha,color,recent
Undefeated,,Kolkata,recent,images/photographs/stories/outreach/undefeated.jpg,outreach,bw,
Blackboard,,Kolkata,recent,images/photographs/stories/outreach/blackboard-classroom.jpg,outreach,bw,
Playful,,Kolkata,recent,images/photographs/stories/outreach/jspk-game.jpg,outreach,bw,
Sandhi Pujo,,Kolkata,recent,images/photographs/stories/durgapujo/sandhipujo.jpg,durgapujo,bw,
Goddess of the City,,Kolkata,recent,images/photographs/stories/durgapujo/goddess-kolkata.jpg,durgapujo,bw,
Travellers of Time,,Kolkata,recent,images/photographs/single/freedom-stjohns.jpg,singles,bw,recent
Friends,,Kolkata,recent,images/photographs/single/friends-morning.jpg,singles,bw,recent
Bylanes,,Kolkata,,images/photographs/single/hotor-bylanes.jpg,singles,bw,recent
Midnight Mass,,Kolkata,,images/photographs/stories/christmaspast/midnightmass-candles.jpg,christmaspast,color,
Midnight Mass,,Kolkata,,images/photographs/stories/christmaspast/mass-wine.jpg,christmaspast,color,
St. Pauls Cathedral,,Kolkata,,images/photographs/stories/christmaspast/st-pauls.jpg,christmaspast,color,
Kumortuli,,Kolkata,recent,images/photographs/stories/durgapujo/kumortuli-1.jpg,durgapujo,bw,
Kumortuli,,Kolkata,recent,images/photographs/stories/durgapujo/kumortuli-2.jpg,durgapujo,bw,
Limca Studio,,Kolkata,recent,images/photographs/stories/limcastudio/studio_7.jpg,limcastudio,bw,
Limca Studio,,Kolkata,recent,images/photographs/stories/limcastudio/studio_8.jpg,limcastudio,bw,star
Limca Studio,,Kolkata,recent,images/photographs/stories/limcastudio/studio_9.jpg,limcastudio,bw,
HDCL Talhunt,,Kolkata,recent,images/photographs/stories/outreach/hdcl-talhunt.jpg,outreach,color,
Windows,,Kolkata,recent,images/photographs/stories/outreach/shishumon-window.jpg,outreach,bw,
Bylanes,,Kolkata,recent,images/photographs/single/bookseller.jpg,singles,bw,recent
Bylanes,,Kolkata,recent,images/photographs/single/doors-krishnanagar.jpg,singles,bw,recent
Bylanes,,Kolkata,recent,images/photographs/single/gully-cricket.jpg,singles,bw,recent
Bylanes,,Kolkata,recent,images/photographs/single/urban-sadhu.jpg,singles,color,recent
Kuala Lumpur,,Kuala Lumpur,recent,images/photographs/stories/rides/kualalumpur-lounge.jpg,foodandtravel,bw,
Kuala Lumpur,,Kuala Lumpur,recent,images/photographs/stories/rides/kualumpur-airport.jpg,foodandtravel,bw,
